Sixteen,4,41.888823,-87.626656,chicago,4.2
Longman & Eagle,2,41.930071,-87.707189,chicago,4.4
Alinea,4,41.913428,-87.648135,chicago,4.5
Sepia,3,41.88394,-87.642524,chicago,4.2
Naha,3,41.89101,-87.63129,chicago,4.4
Blackbird Restaurant,3,41.884276,-87.643533,chicago,4.2
Boka,3,41.913632,-87.648183,chicago,4.5
EL ideas,4,41.862647,-87.686828,chicago,4.6
North Pond,3,41.92987,-87.637465,chicago,4.4
L2O,4,41.92398,-87.636931,chicago,4.4
Moto Restaurant,4,41.88655,-87.651701,chicago,4.1
Mexique,3,41.895876,-87.666003,chicago,4.5
Spiaggia,4,41.900497,-87.624485,chicago,4.4
Travelle,3,41.888573,-87.627785,chicago,4.3
Au Cheval,2,41.88468,-87.647661,chicago,4.7
Girl & the Goat,2,41.884164,-87.647971,chicago,4.6
Cite,3,41.891436,-87.612145,chicago,3.3
GT Fish & Oyster,3,41.89179,-87.633925,chicago,4.5
Topolobampo,3,41.890563,-87.630885,chicago,4.4
